Team,Rk_x,Age,W_x,L_x,PW,PL,MOV_x,SOS,SRS,ORtg_x,DRtg_x,NRtg_x,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Arena,Attend.,Attend./G,Rk_y,Conf,Div,W_y,L_y,W/L%,MOV_y,ORtg_y,DRtg_y,NRtg_y,MOV/A,ORtg/A,DRtg/A,NRtg/A,Selected via Draft,Acquired via Draft Rights Trade,Draft & Draft Rights Trade Combined,Acquired via Trade,Acquired via Waiver Claim,Acquired via Expansion,Acquired via Free Agency,Total Roster,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster
ATL,18.0,24.9,41.0,41.0,42,40,0.29,0.02,0.32,116.6,116.3,0.3,100.7,0.244,0.331,0.579,0.541,11.2,25.1,0.2,0.552,12.4,75.8,0.206,State Farm Arena,719787,17556,17,E,SE,41,41,0.5,0.29,117.45,117.16,0.29,0.32,117.66,117.34,0.32,4,3,7,6,0,0,2,15,1,3,2,3,3,8,2
DAL,19.0,27.8,38.0,44.0,41,41,0.07,-0.22,-0.14,116.8,116.7,0.1,96.6,0.298,0.487,0.599,0.565,11.4,18.0,0.225,0.549,11.9,75.5,0.226,American Airlines Center,827282,20178,19,W,SW,38,44,0.463,0.07,117.63,117.56,0.06,-0.14,117.54,117.7,-0.16,1,2,3,6,0,0,6,15,1,2,2,6,2,10,2
MIN,20.0,25.8,42.0,40.0,41,41,-0.04,-0.18,-0.22,113.7,113.8,-0.1,101.0,0.271,0.381,0.592,0.56,13.6,21.5,0.205,0.54,13.3,74.3,0.225,Target Center,687510,16769,20,W,NW,42,40,0.512,-0.04,114.52,114.5,0.02,-0.22,114.26,114.43,-0.18,3,3,6,4,0,0,5,15,0,3,4,3,3,7,2
MIA,21.0,27.7,44.0,38.0,40,42,-0.32,0.18,-0.13,113.0,113.3,-0.3,96.3,0.27,0.408,0.574,0.53,12.4,22.8,0.224,0.561,14.5,77.7,0.198,Kaseya Center,807190,19688,21,E,SE,44,38,0.537,-0.32,113.99,114.4,-0.41,-0.13,114.1,114.32,-0.22,3,0,3,3,0,0,9,15,2,0,1,7,5,5,0
UTA,22.0,26.5,37.0,45.0,39,43,-0.94,-0.09,-1.03,115.8,116.7,-0.9,100.5,0.265,0.421,0.584,0.547,13.3,26.8,0.209,0.541,10.9,75.2,0.205,Vivint Arena,728240,17762,22,W,NW,37,45,0.451,-0.94,116.41,117.44,-1.02,-1.03,116.32,117.43,-1.11,1,1,2,8,0,0,5,15,1,2,3,7,4,6,2
WAS,23.0,26.2,35.0,47.0,38,44,-1.21,0.15,-1.06,114.4,115.6,-1.2,98.6,0.258,0.365,0.585,0.55,12.7,22.6,0.202,0.54,11.0,76.1,0.194,Capital One Arena,710481,17329,23,E,SE,35,47,0.427,-1.21,115.21,116.49,-1.28,-1.06,115.39,116.5,-1.12,4,1,5,5,0,0,5,15,1,1,2,7,3,9,2
ORL,24.0,23.1,34.0,48.0,35,47,-2.56,0.17,-2.39,111.6,114.2,-2.6,99.3,0.29,0.361,0.573,0.532,13.4,23.8,0.227,0.55,13.1,77.7,0.211,Amway Center,728405,17766,24,E,SE,34,48,0.415,-2.56,112.42,114.99,-2.57,-2.39,112.49,114.88,-2.39,7,0,7,4,0,0,4,15,0,2,4,5,3,6,2
IND,25.0,24.5,35.0,47.0,33,49,-3.18,0.28,-2.91,114.6,117.7,-3.1,101.1,0.265,0.413,0.581,0.545,13.0,23.4,0.209,0.554,13.0,72.2,0.229,Gainbridge Fieldhouse,641562,15648,25,E,C,35,47,0.427,-3.18,115.65,118.81,-3.16,-2.91,115.96,118.83,-2.87,4,1,5,7,0,0,3,15,1,3,2,6,2,6,2
POR,26.0,25.1,33.0,49.0,31,51,-4.01,0.05,-3.96,114.8,118.8,-4.0,98.6,0.289,0.413,0.589,0.549,13.1,22.4,0.23,0.563,12.1,74.9,0.217,Moda Center,767374,18716,26,W,NW,33,49,0.402,-4.01,115.72,119.83,-4.11,-3.96,115.72,119.79,-4.07,5,0,5,7,0,0,3,15,1,3,3,7,1,9,2
CHO,27.0,25.3,27.0,55.0,26,56,-6.24,0.35,-5.89,109.2,115.3,-6.1,100.8,0.261,0.36,0.55,0.516,12.3,23.8,0.195,0.544,12.5,75.5,0.211,Spectrum Center,702052,17123,27,E,SE,27,55,0.329,-6.24,109.86,116.14,-6.28,-5.89,110.04,115.96,-5.92,5,3,8,3,0,0,4,15,0,3,5,4,1,6,1
HOU,28.0,22.1,22.0,60.0,23,59,-7.85,0.24,-7.62,111.4,119.3,-7.9,99.0,0.285,0.359,0.554,0.516,14.0,30.2,0.215,0.564,11.8,75.8,0.218,Toyota Center,668865,16314,28,W,SW,22,60,0.268,-7.85,112.14,120.16,-8.02,-7.62,112.21,119.99,-7.78,5,3,8,2,0,0,5,15,0,4,2,2,5,5,1
DET,29.0,24.1,17.0,65.0,22,60,-8.22,0.49,-7.73,110.7,118.9,-8.2,99.0,0.295,0.372,0.561,0.52,13.3,24.9,0.227,0.557,11.9,74.0,0.231,Little Caesars Arena,759715,18596,29,E,C,17,65,0.207,-8.22,111.35,119.68,-8.33,-7.73,111.69,119.52,-7.83,4,2,6,6,0,0,3,15,0,4,4,6,1,7,1
SAS,30.0,23.9,22.0,60.0,19,63,-10.04,0.22,-9.82,110.2,120.0,-9.8,101.6,0.229,0.348,0.554,0.525,13.0,25.6,0.17,0.576,12.0,74.9,0.201,AT&T Center,694434,15508,30,W,SW,22,60,0.268,-10.04,111.11,120.96,-9.85,-9.82,111.14,120.79,-9.65,6,0,6,4,0,0,5,15,0,2,3,10,4,4,1
