,Pick,1st Year Salary,2nd Year Salary,3rd Year Option Salary,4th Year Option: Percentage Increased Over 3rd Year Salary,Qualifying Offer: Percentage Increase Over 4th Year Salary
0,1,"$8,131,200","$8,537,900","$8,944,500",26.1%,30.0%
1,2,"$7,275,200","$7,639,000","$8,002,800",26.2%,30.5%
2,3,"$6,533,300","$6,859,800","$7,186,600",26.4%,31.2%
3,4,"$5,890,300","$6,185,000","$6,479,500",26.5%,31.9%
4,5,"$5,334,100","$5,600,600","$5,867,400",26.7%,32.6%
5,6,"$4,844,700","$5,086,900","$5,329,300",26.8%,33.4%
6,7,"$4,422,600","$4,643,900","$4,864,800",27.0%,34.1%
7,8,"$4,051,700","$4,254,300","$4,456,900",27.2%,34.8%
8,9,"$3,724,300","$3,910,700","$4,096,800",27.4%,35.5%
9,10,"$3,538,100","$3,715,000","$3,891,800",27.5%,36.2%
10,11,"$3,361,200","$3,529,300","$3,697,500",32.7%,36.9%
11,12,"$3,193,200","$3,353,000","$3,512,600",37.8%,37.6%
12,13,"$3,033,500","$3,185,200","$3,336,900",42.9%,38.3%
13,14,"$2,882,000","$3,026,000","$3,170,300",48.1%,39.1%
14,15,"$2,737,600","$2,874,500","$3,011,400",53.3%,39.8%
15,16,"$2,600,900","$2,730,900","$2,861,100",53.4%,40.5%
16,17,"$2,470,700","$2,594,300","$2,717,900",53.6%,41.2%
17,18,"$2,347,300","$2,464,600","$2,582,000",53.8%,41.9%
18,19,"$2,241,600","$2,353,600","$2,465,900",54.0%,42.6%
19,20,"$2,151,800","$2,259,400","$2,366,800",54.2%,43.3%
20,21,"$2,065,700","$2,169,100","$2,272,400",59.3%,44.1%
21,22,"$1,983,200","$2,082,300","$2,181,500",64.5%,44.8%
22,23,"$1,904,000","$1,999,300","$2,094,200",69.7%,45.5%
23,24,"$1,827,900","$1,919,200","$2,010,700",74.9%,46.2%
24,25,"$1,754,600","$1,842,200","$1,930,200",80.1%,46.9%
25,26,"$1,696,500","$1,781,200","$1,866,000",80.3%,47.6%
26,27,"$1,647,500","$1,729,900","$1,812,400",80.4%,48.3%
27,28,"$1,637,300","$1,719,400","$1,801,200",80.5%,49.0%
28,29,"$1,625,500","$1,706,700","$1,788,100",80.5%,50.0%
29,30,"$1,613,700","$1,694,300","$1,775,200",80.5%,50.0%
