,Pick,1st Year Salary,2nd Year Salary,3rd Year Option Salary,4th Year Option: Percentage Increased Over 3rd Year Salary,Qualifying Offer: Percentage Increase Over 4th Year Salary
0,1,"$4,286,900","$4,608,400","$4,929,900",26.1%,30.0%
1,2,"$3,835,600","$4,123,200","$4,410,900",26.2%,30.5%
2,3,"$3,444,400","$3,702,800","$3,961,100",26.4%,31.2%
3,4,"$3,105,500","$3,338,400","$3,571,300",26.5%,31.9%
4,5,"$2,812,200","$3,023,100","$3,234,000",26.7%,32.6%
5,6,"$2,554,200","$2,745,800","$2,937,400",26.8%,33.4%
6,7,"$2,331,700","$2,506,600","$2,681,400",27.0%,34.1%
7,8,"$2,136,100","$2,296,300","$2,456,500",27.2%,34.8%
8,9,"$1,963,600","$2,110,800","$2,258,100",27.4%,35.5%
9,10,"$1,865,300","$2,005,200","$2,145,100",27.5%,36.2%
10,11,"$1,772,100","$1,905,000","$2,037,900",32.7%,36.9%
11,12,"$1,683,500","$1,809,700","$1,936,000",37.8%,37.6%
12,13,"$1,599,300","$1,719,200","$1,839,200",42.9%,38.3%
13,14,"$1,519,400","$1,633,300","$1,747,300",48.1%,39.1%
14,15,"$1,443,300","$1,551,600","$1,659,800",53.3%,39.8%
15,16,"$1,371,200","$1,474,000","$1,576,900",53.4%,40.5%
16,17,"$1,302,600","$1,400,300","$1,498,000",53.6%,41.2%
17,18,"$1,237,500","$1,330,300","$1,423,100",53.8%,41.9%
18,19,"$1,181,800","$1,270,400","$1,359,000",54.0%,42.6%
19,20,"$1,134,500","$1,219,600","$1,304,700",54.2%,43.3%
20,21,"$1,089,100","$1,170,800","$1,252,500",59.3%,44.1%
21,22,"$1,045,600","$1,124,000","$1,202,400",64.5%,44.8%
22,23,"$1,003,800","$1,079,100","$1,154,400",69.7%,45.5%
23,24,"$963,600","$1,035,900","$1,108,100",74.9%,46.2%
24,25,"$925,100","$994,400","$1,063,800",80.1%,46.9%
25,26,"$894,400","$961,500","$1,028,600",80.3%,47.6%
26,27,"$868,600","$933,700","$998,900",80.4%,48.3%
27,28,"$863,300","$928,000","$992,700",80.5%,49.0%
28,29,"$857,000","$921,300","$985,500",80.5%,50.0%
29,30,"$850,800","$914,600","$978,400",80.5%,50.0%
