,Pick,1st Year Salary,2nd Year Salary,3rd Year Option Salary,4th Year Option: Percentage Increased Over 3rd Year Salary,Qualifying Offer: Percentage Increase Over 4th Year Salary
0,1,"$4,753,000","$4,966,800","$5,180,700",26.1%,30.0%
1,2,"$4,252,600","$4,444,000","$4,635,300",26.2%,30.5%
2,3,"$3,818,900","$3,990,700","$4,162,600",26.4%,31.2%
3,4,"$3,443,100","$3,598,100","$3,753,000",26.5%,31.9%
4,5,"$3,117,900","$3,258,200","$3,398,600",26.7%,32.6%
5,6,"$2,831,900","$2,959,300","$3,086,800",26.8%,33.4%
6,7,"$2,585,200","$2,701,500","$2,817,900",27.0%,34.1%
7,8,"$2,368,300","$2,474,900","$2,581,500",27.2%,34.8%
8,9,"$2,177,100","$2,275,000","$2,373,000",27.4%,35.5%
9,10,"$2,068,100","$2,161,200","$2,254,200",27.5%,36.2%
10,11,"$1,964,800","$2,053,200","$2,141,600",32.7%,36.9%
11,12,"$1,866,500","$1,950,500","$2,034,500",37.8%,37.6%
12,13,"$1,773,200","$1,853,000","$1,932,800",42.9%,38.3%
13,14,"$1,684,600","$1,760,400","$1,836,200",48.1%,39.1%
14,15,"$1,600,200","$1,672,200","$1,744,200",53.3%,39.8%
15,16,"$1,520,300","$1,588,700","$1,657,100",53.4%,40.5%
16,17,"$1,444,200","$1,509,200","$1,574,200",53.6%,41.2%
17,18,"$1,372,000","$1,433,800","$1,495,500",53.8%,41.9%
18,19,"$1,310,300","$1,369,200","$1,428,200",54.0%,42.6%
19,20,"$1,257,800","$1,314,400","$1,371,000",54.2%,43.3%
20,21,"$1,207,500","$1,261,800","$1,316,200",59.3%,44.1%
21,22,"$1,159,300","$1,211,400","$1,263,600",64.5%,44.8%
22,23,"$1,112,900","$1,163,000","$1,213,100",69.7%,45.5%
23,24,"$1,068,400","$1,116,400","$1,164,500",74.9%,46.2%
24,25,"$1,025,700","$1,071,800","$1,118,000",80.1%,46.9%
25,26,"$991,600","$1,036,300","$1,080,900",80.3%,47.6%
26,27,"$963,000","$1,006,400","$1,049,700",80.4%,48.3%
27,28,"$957,200","$1,000,200","$1,043,300",80.5%,49.0%
28,29,"$950,200","$992,900","$1,035,700",80.5%,50.0%
29,30,"$943,300","$985,700","$1,028,200",80.5%,50.0%
