,Pick,1st Year Salary,2nd Year Salary,3rd Year Option Salary,4th Year Option: Percentage Increased Over 3rd Year Salary,Qualifying Offer: Percentage Increase Over 4th Year Salary
0,1,"$4,286,900","$4,479,800","$4,672,700",26.1%,30.0%
1,2,"$3,835,600","$4,008,200","$4,180,800",26.2%,30.5%
2,3,"$3,444,400","$3,599,400","$3,754,400",26.4%,31.2%
3,4,"$3,105,500","$3,245,200","$3,385,000",26.5%,31.9%
4,5,"$2,812,200","$2,938,700","$3,065,300",26.7%,32.6%
5,6,"$2,554,200","$2,669,100","$2,784,100",26.8%,33.4%
6,7,"$2,331,700","$2,436,600","$2,541,600",27.0%,34.1%
7,8,"$2,136,100","$2,232,200","$2,328,300",27.2%,34.8%
8,9,"$1,963,600","$2,052,000","$2,140,300",27.4%,35.5%
9,10,"$1,865,300","$1,949,200","$2,033,200",27.5%,36.2%
10,11,"$1,772,100","$1,851,800","$1,931,600",32.7%,36.9%
11,12,"$1,683,500","$1,759,300","$1,835,000",37.8%,37.6%
12,13,"$1,599,300","$1,671,300","$1,743,200",42.9%,38.3%
13,14,"$1,519,400","$1,587,800","$1,656,100",48.1%,39.1%
14,15,"$1,443,300","$1,508,200","$1,573,200",53.3%,39.8%
15,16,"$1,371,200","$1,432,900","$1,494,600",53.4%,40.5%
16,17,"$1,302,600","$1,361,200","$1,419,800",53.6%,41.2%
17,18,"$1,237,500","$1,293,200","$1,348,900",53.8%,41.9%
18,19,"$1,181,800","$1,235,000","$1,288,200",54.0%,42.6%
19,20,"$1,134,500","$1,185,600","$1,236,600",54.2%,43.3%
20,21,"$1,089,100","$1,138,100","$1,187,100",59.3%,44.1%
21,22,"$1,045,600","$1,092,700","$1,139,700",64.5%,44.8%
22,23,"$1,003,800","$1,049,000","$1,094,100",69.7%,45.5%
23,24,"$963,600","$1,007,000","$1,050,300",74.9%,46.2%
24,25,"$925,100","$966,700","$1,008,400",80.1%,46.9%
25,26,"$894,400","$934,600","$974,900",80.3%,47.6%
26,27,"$868,600","$907,700","$946,800",80.4%,48.3%
27,28,"$863,300","$902,100","$941,000",80.5%,49.0%
28,29,"$857,000","$895,600","$934,100",80.5%,50.0%
29,30,"$850,800","$889,100","$927,400",80.5%,50.0%
