,Pick,1st Year Salary,2nd Year Salary,3rd Year Option Salary,4th Year Option: Percentage Increased Over 3rd Year Salary,Qualifying Offer: Percentage Increase Over 4th Year Salary
0,1,"$6,804,300","$7,969,100","$8,348,500",26.1%,30.0%
1,2,"$6,088,000","$7,130,100","$7,469,700",26.2%,30.5%
2,3,"$5,467,200","$6,402,800","$6,707,800",26.4%,31.2%
3,4,"$4,929,200","$5,772,900","$6,047,800",26.5%,31.9%
4,5,"$4,463,700","$5,227,500","$5,476,500",26.7%,32.6%
5,6,"$4,054,200","$4,748,000","$4,974,200",26.8%,33.4%
6,7,"$3,701,000","$4,334,500","$4,540,700",27.0%,34.1%
7,8,"$3,390,500","$3,970,800","$4,159,900",27.2%,34.8%
8,9,"$3,116,600","$3,650,100","$3,823,900",27.4%,35.5%
9,10,"$2,960,800","$3,467,500","$3,632,500",27.5%,36.2%
10,11,"$2,812,800","$3,294,100","$3,451,100",32.7%,36.9%
11,12,"$2,672,200","$3,129,500","$3,278,600",37.8%,37.6%
12,13,"$2,538,500","$2,973,100","$3,114,600",42.9%,38.3%
13,14,"$2,411,800","$2,824,500","$2,959,000",48.1%,39.1%
14,15,"$2,290,900","$2,682,900","$2,810,700",53.3%,39.8%
15,16,"$2,176,500","$2,549,000","$2,670,500",53.4%,40.5%
16,17,"$2,067,500","$2,421,500","$2,536,800",53.6%,41.2%
17,18,"$1,964,300","$2,300,400","$2,410,000",53.8%,41.9%
18,19,"$1,875,800","$2,196,900","$2,301,600",54.0%,42.6%
19,20,"$1,800,600","$2,108,900","$2,209,200",54.2%,43.3%
20,21,"$1,728,600","$2,024,500","$2,121,100",59.3%,44.1%
21,22,"$1,659,600","$1,943,600","$2,036,200",64.5%,44.8%
22,23,"$1,593,300","$1,866,000","$1,954,700",69.7%,45.5%
23,24,"$1,529,600","$1,791,300","$1,876,700",74.9%,46.2%
24,25,"$1,468,400","$1,719,600","$1,801,600",80.1%,46.9%
25,26,"$1,419,700","$1,662,600","$1,741,700",80.3%,47.6%
26,27,"$1,378,700","$1,614,600","$1,691,600",80.4%,48.3%
27,28,"$1,370,200","$1,604,900","$1,681,100",80.5%,49.0%
28,29,"$1,360,200","$1,593,000","$1,669,000",80.5%,50.0%
29,30,"$1,350,400","$1,581,500","$1,656,900",80.5%,50.0%
