,Pick,1st Year Salary,2nd Year Salary,3rd Year Option Salary,4th Year Option: Percentage Increased Over 3rd Year Salary,Qualifying Offer: Percentage Increase Over 4th Year Salary
0,1,"$4,436,900","$4,636,600","$4,836,300",26.1%,30.0%
1,2,"$3,969,800","$4,148,500","$4,327,100",26.2%,30.5%
2,3,"$3,565,000","$3,725,400","$3,885,800",26.4%,31.2%
3,4,"$3,214,200","$3,358,800","$3,503,500",26.5%,31.9%
4,5,"$2,910,600","$3,041,600","$3,172,600",26.7%,32.6%
5,6,"$2,643,600","$2,762,600","$2,881,500",26.8%,33.4%
6,7,"$2,413,300","$2,521,900","$2,630,500",27.0%,34.1%
7,8,"$2,210,900","$2,310,400","$2,409,800",27.2%,34.8%
8,9,"$2,032,300","$2,123,800","$2,215,200",27.4%,35.5%
9,10,"$1,930,600","$2,017,500","$2,104,300",27.5%,36.2%
10,11,"$1,834,100","$1,916,700","$1,999,200",32.7%,36.9%
11,12,"$1,742,400","$1,820,800","$1,899,200",37.8%,37.6%
12,13,"$1,655,300","$1,729,800","$1,804,300",42.9%,38.3%
13,14,"$1,572,600","$1,643,300","$1,714,100",48.1%,39.1%
14,15,"$1,493,800","$1,561,000","$1,628,300",53.3%,39.8%
15,16,"$1,419,200","$1,483,100","$1,546,900",53.4%,40.5%
16,17,"$1,348,200","$1,408,900","$1,469,500",53.6%,41.2%
17,18,"$1,280,800","$1,338,400","$1,396,100",53.8%,41.9%
18,19,"$1,223,200","$1,278,200","$1,333,200",54.0%,42.6%
19,20,"$1,174,200","$1,227,000","$1,279,900",54.2%,43.3%
20,21,"$1,127,200","$1,177,900","$1,228,700",59.3%,44.1%
21,22,"$1,082,200","$1,130,900","$1,179,600",64.5%,44.8%
22,23,"$1,038,900","$1,085,700","$1,132,400",69.7%,45.5%
23,24,"$997,300","$1,042,200","$1,087,100",74.9%,46.2%
24,25,"$957,500","$1,000,600","$1,043,700",80.1%,46.9%
25,26,"$925,700","$967,400","$1,009,000",80.3%,47.6%
26,27,"$899,000","$939,500","$979,900",80.4%,48.3%
27,28,"$893,500","$933,700","$973,900",80.5%,49.0%
28,29,"$887,000","$926,900","$966,800",80.5%,50.0%
29,30,"$880,600","$920,200","$959,800",80.5%,50.0%
