,Pick,1st Year Salary,2nd Year Salary,3rd Year Option Salary,4th Year Option: Percentage Increased Over 3rd Year Salary,Qualifying Offer: Percentage Increase Over 4th Year Salary
0,1,"$4,592,200","$4,798,900","$5,005,500",26.1%,30.0%
1,2,"$4,108,800","$4,293,700","$4,478,600",26.2%,30.5%
2,3,"$3,689,700","$3,855,800","$4,021,800",26.4%,31.2%
3,4,"$3,326,700","$3,476,400","$3,626,100",26.5%,31.9%
4,5,"$3,012,500","$3,148,100","$3,283,600",26.7%,32.6%
5,6,"$2,736,100","$2,859,200","$2,982,400",26.8%,33.4%
6,7,"$2,497,800","$2,610,200","$2,722,600",27.0%,34.1%
7,8,"$2,288,200","$2,391,200","$2,494,200",27.2%,34.8%
8,9,"$2,103,500","$2,198,100","$2,292,800",27.4%,35.5%
9,10,"$1,998,200","$2,088,100","$2,178,000",27.5%,36.2%
10,11,"$1,898,300","$1,983,700","$2,069,200",32.7%,36.9%
11,12,"$1,803,400","$1,884,600","$1,965,700",37.8%,37.6%
12,13,"$1,713,200","$1,790,300","$1,867,400",42.9%,38.3%
13,14,"$1,627,600","$1,700,900","$1,774,100",48.1%,39.1%
14,15,"$1,546,100","$1,615,700","$1,685,200",53.3%,39.8%
15,16,"$1,468,900","$1,535,000","$1,601,100",53.4%,40.5%
16,17,"$1,395,400","$1,458,200","$1,521,000",53.6%,41.2%
17,18,"$1,325,600","$1,385,300","$1,444,900",53.8%,41.9%
18,19,"$1,266,000","$1,322,900","$1,379,900",54.0%,42.6%
19,20,"$1,215,300","$1,270,000","$1,324,700",54.2%,43.3%
20,21,"$1,166,700","$1,219,200","$1,271,700",59.3%,44.1%
21,22,"$1,120,100","$1,170,500","$1,220,900",64.5%,44.8%
22,23,"$1,075,300","$1,123,700","$1,172,100",69.7%,45.5%
23,24,"$1,032,200","$1,078,700","$1,125,100",74.9%,46.2%
24,25,"$991,000","$1,035,600","$1,080,200",80.1%,46.9%
25,26,"$958,100","$1,001,200","$1,044,300",80.3%,47.6%
26,27,"$930,500","$972,300","$1,014,200",80.4%,48.3%
27,28,"$924,800","$966,400","$1,008,000",80.5%,49.0%
28,29,"$918,000","$959,400","$1,000,700",80.5%,50.0%
29,30,"$911,400","$952,400","$993,400",80.5%,50.0%
