Player,Team,Salary
Yi Jianlian,WAS,4050499
Trevor Booker,WAS,1204560
Rashard Lewis,WAS,19573711
Nick Young,WAS,2630503
Mustafa Shakur,WAS,89670
Mike Bibby,WAS,5564767
Maurice Evans,WAS,2500000
Lester Hudson,WAS,192791
Kevin Seraphin,WAS,1563120
Josh Howard,WAS,3000000
Jordan Crawford,WAS,1042320
John Wall,WAS,5144280
JaVale McGee,WAS,1601040
Cartier Martin,WAS,854389
Andray Blatche,WAS,5900000
Alonzo Gee,WAS,125538
Al Thornton,WAS,2814196
Ronnie Price,UTA,1380000
Raja Bell,UTA,3000000
Paul Millsap,UTA,7600000
Mehmet Okur,UTA,9945000
Kyrylo Fesenko,UTA,1087500
Jeremy Evans,UTA,473604
Gordon Hayward,UTA,2356320
Francisco Elson,UTA,1146337
Earl Watson,UTA,1229255
Devin Harris,UTA,8981000
Derrick Favors,UTA,4133280
C.J. Miles,UTA,3700000
Andrei Kirilenko,UTA,17823000
Al Jefferson,UTA,13000000
Trey Johnson,TOR,89670
Sundiata Gaines,TOR,89670
Sonny Weems,TOR,854389
Solomon Alabi,TOR,770000
Ronald Dupree,TOR,58393
Reggie Evans,TOR,5080000
Peja Stojakovic,TOR,14896000
Linas Kleiza,TOR,4995000
Leandro Barbosa,TOR,7100000
Julian Wright,TOR,2858057
Jose Calderon,TOR,9000000
Joey Dorsey,TOR,854389
Jerryd Bayless,TOR,2292600
James Johnson,TOR,1713600
Ed Davis,TOR,1919160
DeMar DeRozan,TOR,2453880
Andrea Bargnani,TOR,8500000
Amir Johnson,TOR,5000000
Alexis Ajinca,TOR,1467840
Tony Parker,SAS,13500000
Tim Duncan,SAS,18700000
Tiago Splitter,SAS,3400000
Steve Novak,SAS,350179
Richard Jefferson,SAS,8400000
Matt Bonner,SAS,3000000
Manu Ginobili,SAS,11854584
Larry Owens,SAS,55718
James Anderson,SAS,1361400
Ime Udoka,SAS,264232
George Hill,SAS,1157160
Gary Neal,SAS,525000
Garrett Temple,SAS,71736
DeJuan Blair,SAS,918000
Danny Green,SAS,94154
Chris Quinn,SAS,861978
Bobby Simmons,SAS,71951
Antonio McDyess,SAS,4860000
Alonzo Gee,SAS,76219
Tyreke Evans,SAC,3880920
Samuel Dalembert,SAC,13428129
Omri Casspi,SAC,1254480
Marquis Daniels,SAC,2470000
Marcus Thornton,SAC,762195
Luther Head,SAC,992680
Jermaine Taylor,SAC,780871
Jason Thompson,SAC,2178000
Hassan Whiteside,SAC,730437
Francisco Garcia,SAC,5500000
Eugene Jeter,SAC,473604
Donte Greene,SAC,1116840
DeMarcus Cousins,SAC,3374640
Darnell Jackson,SAC,854389
Beno Udrih,SAC,6478600
Antoine Wright,SAC,992680
Wesley Matthews,POR,5765000
Rudy Fernandez,POR,1246680
Nicolas Batum,POR,1196760
Marcus Camby,POR,11749832
Luke Babbitt,POR,1645440
LaMarcus Aldridge,POR,11244000
Greg Oden,POR,6760524
Gerald Wallace,POR,10500000
Fabricio Oberto,POR,992680
Elliot Williams,POR,1254720
Chris Johnson,POR,27859
Brandon Roy,POR,13520500
Armon Johnson,POR,473604
Andre Miller,POR,7269264
Tony Battie,PHI,1352181
Thaddeus Young,PHI,2901241
Spencer Hawes,PHI,2974320
Marreese Speights,PHI,1773960
Jrue Holiday,PHI,1627920
Jodie Meeks,PHI,762195
Jason Kapono,PHI,6641440
Evan Turner,PHI,4602720
Elton Brand,PHI,15959099
Darius Songaila,PHI,4818000
Craig Brackins,PHI,1306920
Andres Nocioni,PHI,6850000
Andre Iguodala,PHI,12345250
Ryan Anderson,ORL,1409040
Quentin Richardson,ORL,2265000
Malik Allen,ORL,1229255
Jason Williams,ORL,1352181
Jason Richardson,ORL,14444444
Jameer Nelson,ORL,7800000
J.J. Redick,ORL,7250000
Hedo Turkoglu,ORL,10215850
Gilbert Arenas,ORL,17730694
Earl Clark,ORL,1898760
Dwight Howard,ORL,16647180
Daniel Orton,ORL,1028400
Chris Duhon,ORL,3500000
Brandon Bass,ORL,4000000
Thabo Sefolosha,OKC,3250000
Serge Ibaka,OKC,1204200
Russell Westbrook,OKC,4017720
Royal Ivey,OKC,1200000
Nick Collison,OKC,13250000
Nazr Mohammed,OKC,6883800
Nate Robinson,OKC,4200000
Kevin Durant,OKC,6053663
Kendrick Perkins,OKC,4640208
James Harden,OKC,4304520
Eric Maynor,OKC,1417800
Daequan Cook,OKC,2169857
Cole Aldrich,OKC,2126520
Byron Mullens,OKC,1204200
Toney Douglas,NYK,1071000
Shelden Williams,NYK,915852
Shawne Williams,NYK,885210
Ronny Turiaf,NYK,4000000
Roger Mason,NYK,1400000
Renaldo Balkman,NYK,1675000
Landry Fields,NYK,473604
Kelenna Azubuike,NYK,3300000
Corey Brewer,NYK,3703472
Chauncey Billups,NYK,13150000
Carmelo Anthony,NYK,17149243
Anthony Carter,NYK,1352181
Andy Rautins,NYK,600000
Willie Green,NOH,3976000
Trevor Ariza,NOH,6322320
Sasha Pavlovic,NOH,67432
Quincy Pondexter,NOH,1073280
Pops Mensah-Bonsu,NOH,364461
Marcus Banks,NOH,4847586
Marco Belinelli,NOH,2380270
Joe Alexander,NOH,90465
Jason Smith,NOH,2187913
Jarrett Jack,NOH,4600000
Emeka Okafor,NOH,11495000
Didier Ilunga-Mbenga,NOH,1069509
David West,NOH,8287500
David Andersen,NOH,2500000
Chris Paul,NOH,14940153
Carl Landry,NOH,3000000
Aaron Gray,NOH,1028840
