,Player,Salary
287,Trey Murphy,"$3,206,520"
288,Simone Fontecchio,"$3,205,128"
289,Derrick Jones,"$3,200,000"
290,Andre Drummond,"$3,200,000"
291,Dalen Terry,"$3,191,400"
292,Sterling Brown,"$3,122,602"
293,Josh Green,"$3,098,400"
294,Jake LaRavia,"$3,047,640"
295,Tre Mann,"$3,046,200"
296,Kevin Knox,"$3,000,000"
297,Saddiq Bey,"$2,959,080"
298,Malaki Branham,"$2,925,600"
299,Joe Wieskamp,"$2,909,261"
300,Kai Jones,"$2,909,040"
301,Blake Griffin,"$2,905,851"
302,Robin Lopez,"$2,905,851"
303,Markieff Morris,"$2,905,851"
304,Andre Iguodala,"$2,905,851"
305,Serge Ibaka,"$2,905,851"
306,Udonis Haslem,"$2,905,851"
307,Wesley Matthews,"$2,905,851"
308,Austin Rivers,"$2,905,851"
309,Bismack Biyombo,"$2,905,851"
310,Taj Gibson,"$2,905,851"
311,RJ Hampton,"$2,898,243"
312,Andrew Nicholson,"$2,844,429"
313,Precious Achiuwa,"$2,840,160"
314,Christian Braun,"$2,808,600"
315,Jordan Nwora,"$2,800,000"
316,Jalen Johnson,"$2,792,640"
317,Tyrese Maxey,"$2,726,880"
318,Bruno Fernando,"$2,717,391"
319,Walker Kessler,"$2,696,400"
320,Keon Johnson,"$2,681,040"
321,Charles Bassey,"$2,674,742"
322,Dennis Schroeder,"$2,641,682"
323,TJ Warren,"$2,628,597"
324,Matthew Dellavedova,"$2,628,597"
325,Trey Lyles,"$2,625,000"
326,Zeke Nnaji,"$2,617,800"
327,David Roddy,"$2,588,640"
328,Isaiah Jackson,"$2,573,760"
329,MarJon Beauchamp,"$2,485,200"
330,Usman Garuba,"$2,471,160"
331,Raul Neto,"$2,463,490"
332,Frank Kaminsky,"$2,463,490"
333,Montrezl Harrell,"$2,463,490"
334,Willy Hernangomez,"$2,443,581"
335,Theo Maledon,"$2,408,891"
336,Blake Wesley,"$2,385,480"
337,Josh Christopher,"$2,372,160"
338,Isaiah Roby,"$2,330,681"
339,Lindy Waters III,"$2,316,876"
340,Immanuel Quickley,"$2,316,240"
341,Wendell Moore,"$2,306,520"
342,John Konchar,"$2,300,000"
343,Rodney McGruder,"$2,298,385"
344,Bryn Forbes,"$2,298,385"
345,Juan Hernangomez,"$2,298,385"
346,Damian Jones,"$2,298,385"
347,Quentin Grimes,"$2,277,000"
348,Saben Lee,"$2,266,640"
349,Andrew Nembhard,"$2,244,111"
350,Nikola Jovic,"$2,239,920"
351,Payton Pritchard,"$2,239,200"
352,Vlatko Cancar,"$2,234,359"
353,Patrick Baldwin,"$2,226,000"
354,TyTy Washington,"$2,210,040"
355,Bones Hyland,"$2,201,520"
356,Bol Bol,"$2,200,000"
357,Peyton Watson,"$2,193,960"
358,Marquese Chriss,"$2,193,920"
359,Udoka Azubuike,"$2,174,880"
360,Jaden McDaniels,"$2,161,440"
361,Jordan McLaughlin,"$2,160,000"
362,Malachi Flynn,"$2,145,720"
363,Cam Thomas,"$2,138,160"
364,Luke Kornet,"$2,133,278"
365,Dennis Smith,"$2,133,278"
366,Damion Lee,"$2,133,278"
367,Juan Toscano-Anderson,"$2,133,278"
368,Desmond Bane,"$2,130,240"
369,Jaden Springer,"$2,125,200"
370,Day'Ron Sharpe,"$2,109,480"
371,Santiago Aldama,"$2,094,120"
372,Tony Bradley,"$2,036,318"
373,Frank Ntilikina,"$2,036,318"
374,Garrison Mathews,"$2,000,000"
375,Kenrich Williams,"$2,000,000"
376,Jaylin Williams,"$2,000,000"
377,Jeremiah Robinson-Earl,"$2,000,000"
378,Caleb Houstan,"$2,000,000"
379,Shake Milton,"$1,997,718"
380,Aaron Holiday,"$1,968,175"
381,Yuta Watanabe,"$1,968,175"
382,Edmond Sumner,"$1,968,175"
383,Theo Pinson,"$1,968,175"
384,Thomas Bryant,"$1,968,175"
385,Troy Brown,"$1,968,175"
386,Josh Okogie,"$1,968,175"
387,Drew Eubanks,"$1,968,175"
388,Dean Wade,"$1,930,681"
389,Terance Mann,"$1,930,681"
390,Jaylen Nowell,"$1,930,681"
391,Naz Reid,"$1,930,681"
392,Jalen McDaniels,"$1,930,681"
393,Daniel Gafford,"$1,930,681"
394,Chimezie Metu,"$1,910,860"
395,Davon Reed,"$1,902,133"
396,KZ Okpala,"$1,902,133"
397,Killian Tillie,"$1,901,625"
398,Vernon Carey,"$1,882,621"
399,Wenyen Gabriel,"$1,878,720"
400,Thanasis Antetokounmpo,"$1,878,720"
401,Moritz Wagner,"$1,878,720"
402,Keita Bates-Diop,"$1,878,720"
403,Oshae Brissett,"$1,846,738"
404,Nathan Knight,"$1,836,090"
405,Justin Jackson,"$1,836,090"
406,Isaiah Joe,"$1,836,090"
407,Ryan Arcidiacono,"$1,836,090"
408,Anthony Gill,"$1,836,090"
409,Javonte Green,"$1,815,677"
410,Gabe Vincent,"$1,815,677"
411,Max Strus,"$1,815,677"
412,Herb Jones,"$1,785,000"
413,Nick Richards,"$1,782,621"
414,Lamar Stevens,"$1,782,621"
415,Tyrell Terry,"$1,782,621"
416,KJ Martin,"$1,782,621"
417,Xavier Tillman,"$1,782,621"
418,Naji Marshall,"$1,782,621"
419,Paul Reed,"$1,782,621"
420,Tre Jones,"$1,782,621"
421,Haywood Highsmith,"$1,752,638"
422,Omer Yurtseven,"$1,752,638"
423,Leandro Bolmaro,"$1,709,300"
424,Terry Taylor,"$1,703,902"
425,Jared Butler,"$1,674,655"
426,Jericho Sims,"$1,639,842"
427,Sam Hauser,"$1,637,966"
428,Kessler Edwards,"$1,637,966"
429,Isaiah Todd,"$1,575,000"
430,Vit Krejci,"$1,563,518"
431,JT Thor,"$1,563,518"
432,Marko Simonovic,"$1,563,518"
433,Ayo Dosunmu,"$1,563,518"
434,Isaiah Livers,"$1,563,518"
435,Daishen Nix,"$1,563,518"
436,Jason Preston,"$1,563,518"
437,BJ Boston,"$1,563,518"
438,Austin Reaves,"$1,563,518"
439,Jose Alvarado,"$1,563,518"
440,Miles McBride,"$1,563,518"
441,Aaron Wiggins,"$1,563,518"
442,Jock Landale,"$1,563,518"
443,Greg Brown,"$1,563,518"
444,Trendon Watford,"$1,563,518"
445,Dalano Banton,"$1,563,518"
446,Kenneth Lofton,"$1,505,966"
447,Christian Koloko,"$1,500,000"
448,Bryce McGowens,"$1,461,055"
449,Eric Bledsoe,"$1,300,000"
450,Jordan Goodwin,"$1,280,206"
451,Kennedy Chandler,"$1,200,000"
452,Noah Vonleh,"$1,160,955"
453,Sandro Mamukelashvili,"$1,116,112"
454,Sam Merrill,"$1,105,522"
455,Zhaire Smith,"$1,068,200"
456,Tyrese Martin,"$1,017,781"
457,Jaden Hardy,"$1,017,781"
458,Ryan Rollins,"$1,017,781"
459,Max Christie,"$1,017,781"
460,Josh Minott,"$1,017,781"
461,Jabari Walker,"$1,017,781"
462,Eugene Omoruyi,"$1,013,119"
463,Kris Dunn,"$1,000,001"
464,Kyle Singler,"$999,200"
465,Ishmail Wainright,"$980,057"
466,Admiral Schofield,"$877,940"
467,Justin Champagnie,"$853,241"
468,Trevelin Queen,"$838,891"
469,Moses Brown,"$824,041"
470,Matt Ryan,"$806,097"
471,DaQuan Jeffries,"$799,403"
472,PJ Dozier,"$784,654"
473,Cody Zeller,"$743,922"
474,Meyers Leonard,"$713,558"
475,Nik Stauskas,"$702,311"
476,Anthony Lamb,"$694,878"
477,Michael Carter-Williams,"$652,829"
478,DJ Augustin,"$633,938"
479,Duane Washington Jr,"$628,802"
480,Carlik Jones,"$612,162"
481,Juwan Morgan,"$576,230"
482,Malik Fitts,"$555,217"
483,Luka Samanic,"$538,317"
484,David Duke,"$531,283"
485,Trevor Keels,"$520,589"
486,Dereon Seabron,"$511,816"
487,Trent Forrest,"$508,891"
488,Mfiondu Kabengele,"$508,891"
489,JD Davison,"$508,891"
490,Malcolm Hill,"$508,891"
491,Mamadi Diakite,"$508,891"
492,Isaiah Mobley,"$508,891"
493,McKinley Wright,"$508,891"
494,Jack White,"$508,891"
495,Collin Gillespie,"$508,891"
496,Buddy Boeheim,"$508,891"
497,Darius Days,"$508,891"
498,Trevor Hudgins,"$508,891"
499,Kendall Brown,"$508,891"
500,Moussa Diabate,"$508,891"
501,Scottie Pippen Jr,"$508,891"
502,Cole Swider,"$508,891"
503,Vince Williams Jr,"$508,891"
504,Jamal Cain,"$508,891"
505,AJ Green,"$508,891"
506,Luka Garza,"$508,891"
507,EJ Liddell,"$508,891"
508,Kevon Harris,"$508,891"
509,Keon Ellis,"$508,891"
510,Neemias Queta,"$508,891"
511,Julian Champagnie,"$508,891"
512,Dominick Barlow,"$508,891"
513,Jeff Dowtin,"$508,891"
514,Ron Harper Jr,"$508,891"
515,Micah Potter,"$508,891"
516,Johnny Juzang,"$508,891"
517,John Butler,"$503,041"
518,Chima Moneke,"$500,000"
519,Facundo Campazzo,"$464,299"
520,Orlando Robinson,"$386,055"
521,Dru Smith,"$374,357"
522,AJ Lawson,"$371,432"
523,Jared Rhoden,"$307,089"
524,Louis King,"$307,089"
525,Robert Woodard,"$300,000"
526,Didi Louzada,"$268,032"
527,Jarrett Culver,"$260,295"
528,Olivier Sarr,"$257,371"
529,Alondes Williams,"$254,446"
530,DJ Wilson,"$250,000"
531,Donovan Williams,"$239,822"
532,Quenton Jackson,"$219,630"
533,Chris Silva,"$211,045"
534,Tyler Dorsey,"$201,802"
535,Braxton Key,"$201,802"
536,Jordan Hall,"$193,027"
537,Alize Johnson,"$192,293"
538,Kostas Antetokounmpo,"$172,555"
539,Devon Dotson,"$169,630"
540,Mac McClung,"$160,856"
541,Willie Cauley-Stein,"$155,738"
542,Nate Darling,"$152,082"
543,Keaton Wallace,"$140,384"
544,Xavier Cooks,"$140,384"
545,Shaquille Harrison,"$134,862"
546,Feron Hunt,"$131,610"
547,Lester Quinones,"$129,405"
548,Troy Williams,"$122,741"
549,Xavier Moon,"$116,986"
550,Jamaree Bouyea,"$116,986"
551,Jay Huff,"$116,986"
552,Skylar Mays,"$116,574"
553,Frank Jackson,"$113,114"
554,Michael Foster,"$106,288"
555,Deonte Burton,"$105,522"
556,Jarrell Brantley,"$105,522"
557,Xavier Sneed,"$102,910"
558,Justin Lewis,"$102,363"
559,Lindell Wigginton,"$99,438"
560,Jordan Schakel,"$96,514"
561,Demetrius Jackson,"$92,857"
562,Stanley Umude,"$58,493"
563,Jeenathan Williams,"$52,644"
564,DJ Steward,"$50,000"
565,Armoni Brooks,"$50,000"
566,Jay Scrubb,"$49,719"
567,Justin Minaya,"$35,096"
568,Kobi Simmons,"$32,795"
569,Gabe York,"$32,171"
570,Ibou Badji,"$18,226"
571,Tristan Thompson,"$16,700"
572,RaiQuan Gray,"$5,849"
573,Jacob Gilyard,"$5,849"
