Player,Team,Salary
Trevor Booker,WAS,1294920
Shelvin Mack,WAS,473604
Ronny Turiaf,WAS,4360000
Roger Mason,WAS,1146337
Rashard Lewis,WAS,21136631
Nick Young,WAS,3695857
Maurice Evans,WAS,1223166
Kevin Seraphin,WAS,1680360
Jordan Crawford,WAS,1120440
John Wall,WAS,5530080
JaVale McGee,WAS,2462400
Jan Vesely,WAS,3065040
Chris Singleton,WAS,1485000
Andray Blatche,WAS,6442083
Raja Bell,UTA,3240000
Paul Millsap,UTA,8103435
Josh Howard,UTA,2150000
Jeremy Evans,UTA,762195
Gordon Hayward,UTA,2532960
Enes Kanter,UTA,4133280
Earl Watson,UTA,2000000
Devin Harris,UTA,9319000
Derrick Favors,UTA,4443360
DeMarre Carroll,UTA,544331
C.J. Miles,UTA,3700000
Alec Burks,UTA,2020200
Al Jefferson,UTA,14000000
Solomon Alabi,TOR,830000
Rasual Butler,TOR,1229255
Linas Kleiza,TOR,4605000
Leandro Barbosa,TOR,7600000
Jose Calderon,TOR,9780992
Jerryd Bayless,TOR,3042280
James Johnson,TOR,1833120
Jamaal Magloire,TOR,1352181
Gary Forbes,TOR,1500000
Ed Davis,TOR,2063040
DeMar DeRozan,TOR,2625000
Anthony Carter,TOR,1352181
Andrea Bargnani,TOR,9250000
Amir Johnson,TOR,5500000
Aaron Gray,TOR,2500000
Tony Parker,SAS,12500000
Tim Duncan,SAS,21164619
Tiago Splitter,SAS,3672000
T.J. Ford,SAS,1146337
Richard Jefferson,SAS,9282000
Matt Bonner,SAS,3315000
Manu Ginobili,SAS,12981038
Malcolm Thomas,SAS,103104
Kawhi Leonard,SAS,1731960
James Anderson,SAS,1463520
Ike Diogu,SAS,64028
Gary Neal,SAS,762195
Eric Dawson,SAS,38172
DeJuan Blair,SAS,986000
Danny Green,SAS,854389
Cory Joseph,SAS,1028400
Antonio McDyess,SAS,2640000
Tyreke Evans,SAC,4151640
Tyler Honeycutt,SAC,775000
Travis Outlaw,SAC,3000000
Marcus Thornton,SAC,7000000
John Salmons,SAC,8500000
Jimmer Fredette,SAC,2238360
Jason Thompson,SAC,3001284
J.J. Hickson,SAC,2354537
Isaiah Thomas,SAC,473604
Hassan Whiteside,SAC,762195
Francisco Garcia,SAC,5800000
Donte Greene,SAC,2015896
DeMarcus Cousins,SAC,3627720
Chuck Hayes,SAC,5250000
Wesley Matthews,POR,6135160
Raymond Felton,POR,7560000
Nolan Smith,POR,1306920
Nicolas Batum,POR,2155365
Marcus Camby,POR,11227250
Luke Babbitt,POR,1768800
LaMarcus Aldridge,POR,12372000
Joel Przybilla,POR,1145027
Jamal Crawford,POR,5000000
Greg Oden,POR,1500000
Gerald Wallace,POR,9500000
Elliot Williams,POR,1348800
Craig Smith,POR,992680
Chris Johnson,POR,762195
Brandon Roy,POR,16032144
Armon Johnson,POR,762195
Vince Carter,PHO,18300000
Steve Nash,PHO,11689062
Shannon Brown,PHO,3500000
Sebastian Telfair,PHO,1500000
Ronnie Price,PHO,1069509
Robin Lopez,PHO,2862602
Mickael Pietrus,PHO,5300000
Michael Redd,PHO,1308506
Markieff Morris,PHO,1919160
Marcin Gortat,PHO,6790640
Josh Childress,PHO,6000000
Jared Dudley,PHO,4250000
Hakim Warrick,PHO,4000000
Grant Hill,PHO,6500000
Garret Siler,PHO,51097
Channing Frye,PHO,5600000
Tony Battie,PHI,1352181
Thaddeus Young,PHI,7478261
Spencer Hawes,PHI,4051024
Nikola Vucevic,PHI,1645400
Lavoy Allen,PHI,473604
Jrue Holiday,PHI,1741440
Jodie Meeks,PHI,854389
Francisco Elson,PHI,305792
Evan Turner,PHI,4947840
Elton Brand,PHI,17059727
Craig Brackins,PHI,1404960
Andres Nocioni,PHI,6650000
Andre Iguodala,PHI,13531750
Ryan Anderson,ORL,2244601
Quentin Richardson,ORL,2446600
Larry Hughes,ORL,414443
Justin Harper,ORL,473604
Jason Richardson,ORL,5395000
Jameer Nelson,ORL,7800000
J.J. Redick,ORL,6750000
Hedo Turkoglu,ORL,11015850
Glen Davis,ORL,6300000
Gilbert Arenas,ORL,19269307
Earl Clark,ORL,1160000
Dwight Howard,ORL,18091770
DeAndre Liggins,ORL,473604
Daniel Orton,ORL,1105560
Chris Duhon,ORL,3500000
Thabo Sefolosha,OKC,3300000
Serge Ibaka,OKC,1288200
Ryan Reid,OKC,475000
Russell Westbrook,OKC,5082416
Royal Ivey,OKC,1200000
Reggie Jackson,OKC,1156320
Nick Collison,OKC,3272997
Nazr Mohammed,OKC,3750000
Nate Robinson,OKC,4500000
Lazar Hayward,OKC,1097520
Kevin Durant,OKC,15506632
Kendrick Perkins,OKC,7123626
James Harden,OKC,4604760
Eric Maynor,OKC,1516680
Daequan Cook,OKC,3341558
Cole Aldrich,OKC,2286000
Tyson Chandler,NYK,13107837
Toney Douglas,NYK,1145640
Steve Novak,NYK,992680
Renaldo Balkman,NYK,1675000
Mike Bibby,NYK,1352181
Landry Fields,NYK,762195
Josh Harrellson,NYK,473604
Jerome Jordan,NYK,473604
Jeremy Lin,NYK,762195
Jared Jeffries,NYK,1229255
J.R. Smith,NYK,2382353
Iman Shumpert,NYK,1563120
Chauncey Billups,NYK,12199968
Carmelo Anthony,NYK,18518574
Baron Davis,NYK,1352181
Xavier Henry,NOH,2171640
Trevor Ariza,NOH,6790640
Solomon Jones,NOH,160119
Marco Belinelli,NOH,3377604
Lance Thomas,NOH,328444
Jeff Foote,NOH,225341
Jason Smith,NOH,2500000
Jarrett Jack,NOH,5000000
Gustavo Ayon,NOH,1567500
Greivis Vasquez,NOH,1113600
Eric Gordon,NOH,3831184
Emeka Okafor,NOH,12541812
Donald Sloan,NOH,76392
DaJuan Summers,NOH,303137
Chris Kaman,NOH,14030000
Carldell Johnson,NOH,168035
Carl Landry,NOH,8500000
Al-Farouq Aminu,NOH,2755560
Travis Outlaw,NJN,4000000
Sundiata Gaines,NJN,854389
Shelden Williams,NJN,992680
Shawne Williams,NJN,3000000
Mehmet Okur,NJN,10890000
MarShon Brooks,NJN,1110120
Larry Owens,NJN,86052
Kris Humphries,NJN,8000000
Keith Bogans,NJN,848266
Jordan Williams,NJN,473604
Jordan Farmar,NJN,4000000
Johan Petro,NJN,3250000
Gerald Green,NJN,443181
DeShawn Stevenson,NJN,2500000
Deron Williams,NJN,16359805
Dennis Horner,NJN,91642
Damion James,NJN,1243080
Brook Lopez,NJN,3076983
Anthony Morrow,NJN,4000000
Andre Emmett,NJN,61433
Wesley Johnson,MIN,4006080
Wayne Ellington,MIN,1154040
Ricky Rubio,MIN,3480120
Nikola Pekovic,MIN,4503600
Michael Beasley,MIN,6262347
Martell Webster,MIN,5256000
Malcolm Lee,MIN,500000
Luke Ridnour,MIN,3680000
Kevin Love,MIN,4609701
Derrick Williams,MIN,4602720
Darko Milicic,MIN,4776500
Brad Miller,MIN,4752000
Anthony Tolliver,MIN,2050000
Anthony Randolph,MIN,2911231
