Player,Team,Salary
Trevor Booker,WAS,2350820
Trevor Ariza,WAS,7727280
Otto Porter,WAS,4278000
Martell Webster,WAS,5150000
Marcin Gortat,WAS,7727280
Kevin Seraphin,WAS,2761114
John Wall,WAS,7459925
Jan Vesely,WAS,3340920
Garrett Temple,WAS,916099
Eric Maynor,WAS,2016000
Chris Singleton,WAS,1618680
Bradley Beal,WAS,4319280
Al Harrington,WAS,1399507
Trey Burke,UTA,2438760
Rudy Gobert,UTA,1078800
Richard Jefferson,UTA,11046000
Marvin Williams,UTA,7500000
John Lucas,UTA,1600000
Jeremy Evans,UTA,1660257
Gordon Hayward,UTA,3452183
Enes Kanter,UTA,4505280
Derrick Favors,UTA,6008196
Brandon Rush,UTA,4000000
Andris Biedrins,UTA,9000000
Alec Burks,UTA,2202000
Tyler Hansbrough,TOR,3183000
Terrence Ross,TOR,2678640
Steve Novak,TOR,3750000
Quincy Acy,TOR,788872
Quentin Richardson,TOR,1399507
Marcus Camby,TOR,4383773
Landry Fields,TOR,6250000
Kyle Lowry,TOR,6210000
Jonas Valanciunas,TOR,3526440
DeMar DeRozan,TOR,9500000
D.J. Augustin,TOR,1267000
Austin Daye,TOR,947907
Amir Johnson,TOR,6500000
Aaron Gray,TOR,2690875
Tony Parker,SAS,12500000
Tim Duncan,SAS,10361446
Tiago Splitter,SAS,10000000
Matt Bonner,SAS,3945000
Marco Belinelli,SAS,2750000
Manu Ginobili,SAS,7500000
Kawhi Leonard,SAS,1887840
Jeff Ayres,SAS,1750000
Danny Green,SAS,3762500
Cory Joseph,SAS,1120920
Boris Diaw,SAS,4702500
Aron Baynes,SAS,788872
Travis Outlaw,SAC,3000000
Rudy Gay,SAC,17888931
Patrick Patterson,SAC,3105302
Marcus Thornton,SAC,8050000
John Salmons,SAC,7583000
Jimmer Fredette,SAC,2439840
Jason Thompson,SAC,5643750
Isaiah Thomas,SAC,884293
Greivis Vasquez,SAC,2150188
DeMarcus Cousins,SAC,4916974
Chuck Hayes,SAC,5722500
Carl Landry,SAC,6500000
Ben McLemore,SAC,2895960
Aaron Brooks,SAC,3396250
Will Barton,POR,788872
Wesley Matthews,POR,6875480
Victor Claver,POR,1330000
Thomas Robinson,POR,3526440
Robin Lopez,POR,5904261
Nicolas Batum,POR,11295250
Mo Williams,POR,2652000
Meyers Leonard,POR,2222160
LaMarcus Aldridge,POR,14128000
Joel Freeland,POR,2897976
Earl Watson,POR,1399507
Dorell Wright,POR,3000000
Damian Lillard,POR,3202920
C.J. McCollum,POR,2316720
Shannon Brown,PHO,3500000
P.J. Tucker,PHO,884293
Miles Plumlee,PHO,1121520
Michael Beasley,PHO,4666667
Markieff Morris,PHO,2091840
Marcus Morris,PHO,1987320
Malcolm Lee,PHO,884293
Kendall Marshall,PHO,2005560
Hamed Haddadi,PHO,200000
Goran Dragic,PHO,7500000
Gerald Green,PHO,3500000
Eric Bledsoe,PHO,2626473
Emeka Okafor,PHO,14487500
Channing Frye,PHO,6400000
Caron Butler,PHO,8000000
Archie Goodwin,PHO,1064400
Alex Len,PHO,3492720
Tim Ohlbrecht,PHI,788872
Thaddeus Young,PHI,8600000
Spencer Hawes,PHI,6500000
Royce White,PHI,1719480
Nerlens Noel,PHI,3172320
Michael Carter-Williams,PHI,2200920
Lavoy Allen,PHI,3060000
Kwame Brown,PHI,2945901
Jason Richardson,PHI,6204250
James Anderson,PHI,916099
Evan Turner,PHI,6679867
Darius Morris,PHI,1046269
Danny Granger,PHI,14021788
Arnett Moultrie,PHI,1089240
Victor Oladipo,ORL,4763760
Tobias Harris,ORL,1545840
Ronnie Price,ORL,1265977
Quentin Richardson,ORL,2808600
Nikola Vucevic,ORL,1793520
Maurice Harkless,ORL,1809840
Jason Maxiell,ORL,2500000
Jameer Nelson,ORL,8600000
Hedo Turkoglu,ORL,12000000
Glen Davis,ORL,6400000
Doron Lamb,ORL,788872
Arron Afflalo,ORL,7312500
Andrew Nicholson,ORL,1482000
Al Harrington,ORL,3574300
Thabo Sefolosha,OKC,3900000
Steven Adams,OKC,2090880
Serge Ibaka,OKC,12250000
Ryan Gomes,OKC,1186459
Russell Westbrook,OKC,14693906
Reggie Jackson,OKC,1260360
Perry Jones,OKC,1082520
Nick Collison,OKC,2585668
Kevin Durant,OKC,17832627
Kendrick Perkins,OKC,8477437
Jeremy Lamb,OKC,2111160
Hasheem Thabeet,OKC,1200000
Derek Fisher,OKC,1399507
Andre Roberson,OKC,1110840
