Player,Team,Salary
Ryan Hollins,WAS,176375
Ramon Sessions,WAS,2170465
Otto Porter,WAS,4662960
Nene Hilario,WAS,13000000
Martell Webster,WAS,5613500
Markieff Morris,WAS,8000000
Marcus Thornton,WAS,251107
Marcin Gortat,WAS,11217391
Kelly Oubre,WAS,1920240
John Wall,WAS,15851950
Jarell Eddie,WAS,561716
Jared Dudley,WAS,4250000
J.J. Hickson,WAS,366337
Gary Neal,WAS,2100000
Garrett Temple,WAS,1100602
Drew Gooden,WAS,3300000
Bradley Beal,WAS,5694674
Alan Anderson,WAS,4000000
Trey Lyles,UTA,2239800
Trey Burke,UTA,2658240
Trevor Booker,UTA,4775000
Treveon Graham,UTA,75000
Tibor Pleiss,UTA,3000000
Shelvin Mack,UTA,2433333
Rudy Gobert,UTA,1175880
Rodney Hood,UTA,1348440
Raul Neto,UTA,1000000
Joe Ingles,UTA,2250000
Jeff Withey,UTA,947276
Grant Jerrett,UTA,947276
Gordon Hayward,UTA,15409570
Erick Green,UTA,99418
Elijah Millsap,UTA,362878
Derrick Favors,UTA,11933333
Dante Exum,UTA,3777720
Chris Johnson,UTA,981348
Alec Burks,UTA,9213484
Terrence Ross,TOR,3553917
Patrick Patterson,TOR,6268675
Norman Powell,TOR,650000
Luis Scola,TOR,3000000
Lucas Nogueira,TOR,1842000
Kyle Lowry,TOR,12000000
Jonas Valanciunas,TOR,4660482
Jason Thompson,TOR,328955
James Johnson,TOR,2500000
DeMarre Carroll,TOR,13500000
DeMar DeRozan,TOR,9500000
Delon Wright,TOR,1509360
Cory Joseph,TOR,7000000
Bruno Caboclo,TOR,1524000
Bismack Biyombo,TOR,3000000
Axel Toupane,TOR,25000
Anthony Bennett,TOR,947276
Tony Parker,SAS,13437500
Tim Duncan,SAS,5000000
Ray McCallum,SAS,947276
Rasual Butler,SAS,1499187
Matt Bonner,SAS,1499187
Manu Ginobili,SAS,2814000
LaMarcus Aldridge,SAS,19500000
Kyle Anderson,SAS,1142879
Kevin Martin,SAS,317475
Kawhi Leonard,SAS,16500000
Jonathon Simmons,SAS,525093
Jimmer Fredette,SAS,507711
David West,SAS,1499000
Danny Green,SAS,10000000
Boris Diaw,SAS,7000000
Boban Marjanovic,SAS,1200000
Andre Miller,SAS,396844
