Player,Team,Salary
Dion Waiters,CLE,3726600
Daniel Gibson,CLE,4792332
C.J. Miles,CLE,2225000
Baron Davis,CLE,14850000
Anderson Varejao,CLE,8368182
Alonzo Gee,CLE,3500000
Vladimir Radmanovic,CHI,1352181
Taj Gibson,CHI,2155811
Richard Hamilton,CHI,5000000
Nazr Mohammed,CHI,1352181
Nate Robinson,CHI,1146337
Marquis Teague,CHI,1028400
Marco Belinelli,CHI,1957000
Luol Deng,CHI,13305000
Kirk Hinrich,CHI,3941000
Joakim Noah,CHI,11300000
Jimmy Butler,CHI,1097520
Derrick Rose,CHI,16402500
Daequan Cook,CHI,589769
Carlos Boozer,CHI,15000000
Zaza Pachulia,ATL,5248750
Mike Scott,ATL,473604
Kyle Korver,ATL,5000000
Josh Smith,ATL,13200000
Jordan Williams,ATL,762195
Jordan Farmar,ATL,1500000
John Jenkins,ATL,1204560
Johan Petro,ATL,3500000
Jeremy Tyler,ATL,762195
Jeff Teague,ATL,2433077
Jannero Pargo,ATL,165487
Ivan Johnson,ATL,962195
Devin Harris,ATL,8500000
DeShawn Stevenson,ATL,2240450
Dahntay Jones,ATL,2900000
Anthony Tolliver,ATL,915852
Al Horford,ATL,12000000
